food_name,category,is_packaged,barcode,variant_label,serving_size,notes,calories,protein,carbs,fat,fiber,sugar,sodium
Toor Dal,Lentils,false,,Plain Cooked,100g,Pressure cooked without tempering,116,6.8,20.5,0.4,5.5,2.5,400
Toor Dal,Lentils,false,,Tadka Dal,100g,Tempered with mustard seeds and ghee,148,7.2,20.5,3.9,5.5,2.5,480
Masoor Dal,Lentils,false,,Plain Cooked,100g,Boiled red lentils,116,9.1,20.1,0.4,7.9,1.8,400
Masoor Dal,Lentils,false,,Masoor Dal Tadka,100g,Tempered with onion and tomato,145,9.0,20.0,3.5,7.9,2.0,480
Moong Dal,Lentils,false,,Yellow Moong Dal,100g,Split and husked green gram cooked,104,7.6,18.9,0.4,7.6,1.5,380
Moong Dal,Lentils,false,,Whole Green Moong,100g,Whole green gram cooked,105,7.6,19.2,0.4,7.6,1.5,380
Moong Dal,Lentils,false,,Moong Dal Cheela,100g,Savory crepe made with moong dal batter,160,9.0,22.0,4.5,4.0,1.0,320
Urad Dal,Lentils,false,,Plain Urad Dal,100g,Black gram lentils boiled,114,7.9,20.6,0.4,6.7,1.5,380
Urad Dal,Lentils,false,,Maa Ki Dal,100g,Slow-cooked whole urad dal,145,8.0,20.0,4.0,6.5,2.0,480
Dal Makhani,Lentils,false,,Dal Makhani,100g,Slow-cooked dal with cream and butter,186,9.0,22.0,7.0,7.0,2.0,480
Dal Makhani,Lentils,false,,Restaurant Style Dal Makhani,100g,Rich creamy version with extra butter,220,9.0,22.0,10.0,7.0,2.0,500
Basmati Rice,Rice,false,,Plain Cooked,100g,Steamed long grain basmati rice,130,2.7,28.2,0.3,0.4,0.0,1
Basmati Rice,Rice,false,,Jeera Rice,100g,Cumin tempered basmati rice,158,3.0,30.0,3.0,0.5,0.0,200
Brown Rice,Rice,false,,Plain Cooked,100g,Whole grain brown rice boiled,112,2.6,23.5,0.9,1.8,0.0,5
Roti,Bread,false,,Plain Wheat Roti,1 piece (40g),Thin whole wheat flatbread,120,3.5,24.0,1.3,1.5,0.3,100
